,Site Name,Campaign Name,Contract Number,Title Name,Personnel Name,Contract Date,Close Date,Contract Info,Membership,Points,Club Name,Contract Status,Sales Volume USD,IDP,Closing Cost Charge USD,Closing Cost Paid USD,Applied IDP,IDP Percent,Unlimited Pack,Pack,Funded Interest,Desc TDC,Annuity,Rentsure Inscription,Unlimited Ccost,Finance Charge,Incentive,Comission Volume,IVA,Comission Volume Sin IVA,Mortgage Exchange Rate,SRExchange Rate,Flat Amount,Comision %,Comission Amount,Charger Back,Comisión - Charger Back,Anticipos o Descuentos,Comision Total a Pagar,Comentarios
88,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Closer,Lopez Rodriguez Javier,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,1.5,2769.8274,,2769.8274,,2769.8274,
89,SR MX Park Royal Acapulco,Socios RHC,9-706863,Closer,Lopez Rodriguez Javier,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,1.0,1396.9997999999998,,1396.9997999999998,,1396.9997999999998,
90,SR MX Park Royal Acapulco,Socios RHC,9-706830,Closer,Lopez Rodriguez Javier,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,2.0,2793.0312,,2793.0312,,2793.0312,
91,SR MX Park Royal Acapulco,Socios RHC,9-706925,Closer,Lopez Rodriguez Javier,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,4.0,4314.674279999999,,4314.674279999999,,4314.674279999999,
92,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Closer,Lopez Rodriguez Javier,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,1.5,2769.8274,,2769.8274,,2769.8274,
93,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Closer,Lopez Rodriguez Javier,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,1.5,3103.745692785,,3103.745692785,,3103.745692785,CDP´S
94,SR MX  Park Royal Acapulco,,Charger Back,Closer,Lopez Rodriguez Javier,,,,,,Swiss Club,Current Owner,8799.98,1320.0,520.0,520.0,219.982,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2177.01,-2177.01,,-2177.01,CHARGER BACK 1 QUIN JUNIO
95,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Ger. Sala,Lopez Rodriguez Javier,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,0.125,258.64547439875,,258.64547439875,,258.64547439875,CDP´S
96,SR MX  Park Royal Acapulco,,Charger Back,Ger. Sala,Lopez Rodriguez Javier,,,,Swiss Club,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,-3204.24,,-3204.24,CHARGER BACK  2 QUIN. FEBRERO,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.86,-25.86,,-25.86,CHARGER BACK 1 QUIN JUNIO
97,SR MX Park Royal Acapulco,Socios RHC,9-706609,Ger. Ventas,Lopez Rodriguez Javier,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,0.5,1075.3434,,1075.3434,,1075.3434,
98,SR MX Park Royal Acapulco,Socios RHC,9-706627,Ger. Ventas,Lopez Rodriguez Javier,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,0.5,697.9698,,697.9698,,697.9698,
99,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Ger. Ventas,Lopez Rodriguez Javier,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
100,SR MX Park Royal Acapulco,Calle 450,9-706665,Ger. Ventas,Lopez Rodriguez Javier,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
101,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,Ger. Ventas,Lopez Rodriguez Javier,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,0.0,0.5,2056.552204,,2056.552204,,2056.552204,
102,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Ger. Ventas,Lopez Rodriguez Javier,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,1.0,2967.8274,,2967.8274,,2967.8274,
103,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Ger. Ventas,Lopez Rodriguez Javier,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,0.5,923.2758,,923.2758,,923.2758,
104,SR MX Park Royal Acapulco,Socios RHC,9-706863,Ger. Ventas,Lopez Rodriguez Javier,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,0.5,698.4998999999999,,698.4998999999999,,698.4998999999999,
105,SR MX Park Royal Acapulco,Socios RHC,9-706645,Ger. Ventas,Lopez Rodriguez Javier,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,1.0,2377.891369,,2377.891369,,2377.891369,
106,SR MX Park Royal Acapulco,Socios RHC,9-706632,Ger. Ventas,Lopez Rodriguez Javier,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,0.0,0.5,1016.711862,,1016.711862,,1016.711862,
107,SR MX Park Royal Acapulco,Socios RHC,9-706830,Ger. Ventas,Lopez Rodriguez Javier,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,1.0,1396.5156,,1396.5156,,1396.5156,
108,SR MX Park Royal Acapulco,Socios RHC,9-706925,Ger. Ventas,Lopez Rodriguez Javier,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,1.0,1078.6685699999998,,1078.6685699999998,,1078.6685699999998,
109,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Ger. Ventas,Lopez Rodriguez Javier,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,0.5,923.2758,,923.2758,,923.2758,
110,SR MX  Park Royal Acapulco,,Charger Back,Ger. Ventas,Lopez Rodriguez Javier,,,,Swiss Club,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,-3204.24,,-3204.24,CHARGER BACK  2 QUIN. FEBRERO,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1521.25,-1521.25,,-1521.25,CHARGER BACK 1 QUIN JUNIO
112,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,OPC,Luviano Abarca Jose Roberto,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
114,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,OPC,Martinez Gatica Gustavo,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
115,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,OPC,Martinez Gatica Gustavo,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,10.0,0.0,180.0,,180.0,,180.0,
116,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,OPC,Martinez Gatica Gustavo,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
118,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,OPC,Nicolas Bautista Emanuel,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,20.0,0.0,360.0,,360.0,,360.0,
120,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Ger. Ventas,Noriega Rios David,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,0.375,775.93642319625,,775.93642319625,,775.93642319625,CDP´S
121,SR MX  Park Royal Acapulco,,Charger Back,Ger. Ventas,Noriega Rios David,,,,Swiss Club,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,-3204.24,,-3204.24,CHARGER BACK  2 QUIN. FEBRERO,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,775.94,-775.94,,-775.94,CHARGER BACK 1 QUIN JUNIO
123,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Liner,Ojeda Garcia Sergio,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,50.0,0.0,900.0,,900.0,,900.0,
124,SR MX Park Royal Acapulco,,Charger Back,Liner,Ojeda Garcia Sergio,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,90.0,-90.0,,-90.0,CHARGER BACK 1 QUIN JUNIO
126,SR MX Park Royal Acapulco,Calle 450,9-706665,Liner,Ramirez Martinez Abraham,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
127,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,Liner,Ramirez Martinez Abraham,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,50.0,0.0,900.0,,900.0,,900.0,
128,SR MX  Park Royal Acapulco,Concierge PR Acapulc,9-703901,Liner,Ramirez Martinez Abraham,2021-02-03,2021-02-03,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1653.3464,0.283334,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.6207,20.17,20.17,0.0,1.5,3103.745692785,,3103.745692785,,3103.745692785,CDP´S
129,SR MX  Park Royal Acapulco,,Charger Back,Liner,Ramirez Martinez Abraham,,,,Swiss Club,,Swiss Club,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,310.37,-310.37,,-310.37,CHARGER BACK 1 QUIN JUNIO
130,SR MX Park Royal Acapulco,,Charger Back,Liner,Ramirez Martinez Abraham,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,90.0,-90.0,,-90.0,CHARGER BACK 1 QUIN JUNIO
132,SR MX Park Royal Acapulco,Calle 450,9-706542,SubGer. MKT,Ramirez Martinez Eliseo,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,6.0,0.0,108.0,,108.0,,108.0,
133,SR MX Park Royal Acapulco,Calle 450,9-706665,SubGer. MKT,Ramirez Martinez Eliseo,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
134,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,SubGer. MKT,Ramirez Martinez Eliseo,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,6.0,0.0,108.0,,108.0,,108.0,
135,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,SubGer. MKT,Ramirez Martinez Eliseo,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,1.0,2967.8274,,2967.8274,,2967.8274,
136,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,Sup. OPC,Ramirez Martinez Eliseo,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
137,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Sup. OPC,Ramirez Martinez Eliseo,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,1.0,2967.8274,,2967.8274,,2967.8274,
139,SR MX Park Royal Acapulco,Calle 450,9-706542,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,10.0,0.0,180.0,,180.0,,180.0,
140,SR MX Park Royal Acapulco,Socios RHC,9-706609,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,0.0,2.0,4301.3736,,4301.3736,,4301.3736,
141,SR MX Park Royal Acapulco,Socios RHC,9-706627,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-19,2021-05-19,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,11600.05,1819.33,523.51,523.51,1819.33,0.1568,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1103.95,0.0,8996.05,1.16,7755.22,19.83,18.0,0.0,2.0,2791.8792,,2791.8792,,2791.8792,
142,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
143,SR MX Park Royal Acapulco,Calle 450,9-706665,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,3100.0,520.0,520.0,3100.0,0.25,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,19.81,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 22/05/21
144,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706674,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-21,2021-05-21,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
145,SR MX Park Royal Acapulco,Gran Acapulco,9-706726,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-23,2021-05-23,Original,PLAT,40000.0,Swiss Club,Current Owner,24500.0,3675.0,620.0,620.0,3675.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,24000.0,1.16,20689.66,19.88,19.88,0.0,2.0,8226.208816,,8226.208816,,8226.208816,
146,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706731,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-23,2021-05-23,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
147,SR MX Park Royal Acapulco,850 TARASCOS CONDESA,9-706768,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-24,2021-05-24,Original,GLD+,30000.0,Swiss Club,Current Owner,19700.0,4710.0,623.51,623.51,4710.0,0.2391,0.0,0.0,-500,0,0.0,0.0,0.0,-74.0,0.0,19126.0,1.16,16487.93,19.95,18.0,0.0,2.0,5935.6548,,5935.6548,,5935.6548,
148,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706798,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-25,2021-05-25,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.37,0.0,0.0,837.37,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.87,18.0,10.0,0.0,180.0,,180.0,,180.0,
149,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706851,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2669.62,1334.81,0.0,0.0,1334.81,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2669.62,1.16,2301.4,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
150,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706849,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-27,2021-05-27,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,2480.0,520.0,520.0,2480.0,0.2,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.88,18.0,0.0,2.0,3693.1032,,3693.1032,,3693.1032,
151,SR MX Park Royal Acapulco,Socios RHC,9-706863,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-27,2021-05-27,Upgrade,PLAT,40000.0,Swiss Club,Current Owner,11299.89,1695.0,523.51,523.51,1695.0,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-797.0,0.0,9002.89,1.16,7761.11,19.88,18.0,0.0,2.0,2793.9995999999996,,2793.9995999999996,,2793.9995999999996,
152,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706864,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-27,2021-05-27,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,1196.25,0.0,0.0,1196.25,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,19.88,18.0,10.0,0.0,180.0,,180.0,,180.0,
153,SR MX Park Royal Acapulco,Socios RHC,9-706645,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-20,2021-05-21,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16700.05,2505.0,623.51,623.51,2505.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1275.95,0.0,13924.05,1.16,12003.49,19.81,19.81,0.0,2.0,4755.782738,,4755.782738,,4755.782738,
154,SR MX Park Royal Acapulco,Socios RHC,9-706632,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-19,2021-05-28,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,14599.96,2190.0,623.51,623.51,2190.0,0.15,0.0,0.0,-1500.05,0,0.0,0.0,0.0,-1204.95,0.0,11894.96,1.16,10254.28,19.83,19.83,0.0,2.0,4066.847448,,4066.847448,,4066.847448,
155,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706961,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-30,2021-05-30,Original,Imagine,0.0,Imagine Club,Current Owner,2488.2,870.89,0.0,0.0,870.89,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2488.2,1.16,2145.0,19.95,18.0,10.0,0.0,180.0,,180.0,,180.0,
156,SR MX Park Royal Acapulco,Socios RHC,9-706830,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-26,2021-05-26,Upgrade,ROYL,70000.0,Swiss Club,Current Owner,8999.77,2250.0,527.02,527.02,2250.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8999.77,1.16,7758.42,19.89,18.0,0.0,2.0,2793.0312,,2793.0312,,2793.0312,
157,SR MX Park Royal Acapulco,Socios RHC,9-706925,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-29,2021-05-31,Upgrade,SLV+,20000.0,Swiss Club,Current Owner,6499.96,1625.0,520.0,520.0,1625.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,-228.0,0.0,6271.96,1.16,5406.86,19.95,19.95,0.0,2.0,2157.3371399999996,,2157.3371399999996,,2157.3371399999996,
158,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706973,Dir. Proyecto,Renteria Valdeolivar Jose Luis,2021-05-31,2021-05-31,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,620.0,620.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.94,18.0,0.0,2.0,3693.1032,,3693.1032,,3693.1032,
159,SR MX  Park Royal Acapulco,,Charger Back,Dir. Proyecto,Renteria Valdeolivar Jose Luis,,,,,,Imagine Club,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,126.0,-126.0,,-126.0,CHARGER BACK 1 QUIN JUNIO
161,SR MX Park Royal Acapulco,Calle 450,9-706542,VLO,Rivas Rodriguez Santiago,2021-05-16,2021-05-16,Original,Imagine,0.0,Imagine Club,Current Owner,2392.5,837.38,0.0,0.0,837.38,0.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2392.5,1.16,2062.5,20.05,18.0,15.0,0.0,270.0,,270.0,,270.0,
162,SR MX Park Royal Acapulco,Socios RHC,9-706609,VLO,Rivas Rodriguez Santiago,2021-05-18,2021-05-18,Upgrade,GLD+,30000.0,Swiss Club,Current Owner,16633.98,2495.1,523.51,523.51,2495.1,0.15,0.0,0.0,-1500,0,0.0,0.0,0.0,-1274.0,0.0,13859.98,1.16,11948.26,19.8,18.0,7.5,0.0,135.0,,135.0,,135.0,
163,SR MX Park Royal Acapulco,Concierge PR Acapulc,9-706657,VLO,Rivas Rodriguez Santiago,2021-05-20,2021-05-20,Original,SLVR,15000.0,Swiss Club,Current Owner,12400.0,1860.0,520.0,520.0,1860.0,0.15,0.0,0.0,-500,0,0.0,0.0,0.0,0.0,0.0,11900.0,1.16,10258.62,19.81,18.0,0.0,0.0,0.0,,0.0,,0.0,PET. CANC. 26/05/21
